family,file_path,header,accession,protein_name,gene_name,organism,review_status,protein_existence,annotation_score,sequence_length,assembly_accession,assembly_level,assembly_name,refseq_or_genbank,contig_n50,scaffold_n50,annotation_available,assembly_status,quality_flag,error
connexin,project/data/references/connexins/Homo_sapiens/GJB6__O95452.fasta,>sp|O95452|CXB6_HUMAN Gap junction beta-6 protein OS=Homo sapiens OX=9606 GN=GJB6 PE=1 SV=2,O95452,Gap junction beta-6 protein,GJB6,Homo sapiens,reviewed,1,5.0,261,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJB7__Q6PEY0.fasta,>sp|Q6PEY0|CXB7_HUMAN Gap junction beta-7 protein OS=Homo sapiens OX=9606 GN=GJB7 PE=1 SV=1,Q6PEY0,Gap junction beta-7 protein,GJB7,Homo sapiens,reviewed,1,4.0,223,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJC1__P36383.fasta,>sp|P36383|CXG1_HUMAN Gap junction gamma-1 protein OS=Homo sapiens OX=9606 GN=GJC1 PE=1 SV=2,P36383,Gap junction gamma-1 protein,GJC1,Homo sapiens,reviewed,1,5.0,396,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJC2__Q5T442.fasta,>sp|Q5T442|CXG2_HUMAN Gap junction gamma-2 protein OS=Homo sapiens OX=9606 GN=GJC2 PE=1 SV=1,Q5T442,Gap junction gamma-2 protein,GJC2,Homo sapiens,reviewed,1,5.0,439,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJC3__Q8NFK1.fasta,>sp|Q8NFK1|CXG3_HUMAN Gap junction gamma-3 protein OS=Homo sapiens OX=9606 GN=GJC3 PE=1 SV=1,Q8NFK1,Gap junction gamma-3 protein,GJC3,Homo sapiens,reviewed,1,4.0,279,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJD2__Q9UKL4.fasta,>sp|Q9UKL4|CXD2_HUMAN Gap junction delta-2 protein OS=Homo sapiens OX=9606 GN=GJD2 PE=1 SV=1,Q9UKL4,Gap junction delta-2 protein,GJD2,Homo sapiens,reviewed,1,5.0,321,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJD3__Q8N144.fasta,>sp|Q8N144|CXD3_HUMAN Gap junction delta-3 protein OS=Homo sapiens OX=9606 GN=GJD3 PE=1 SV=1,Q8N144,Gap junction delta-3 protein,GJD3,Homo sapiens,reviewed,1,5.0,294,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJD4__Q96KN9.fasta,>sp|Q96KN9|CXD4_HUMAN Gap junction delta-4 protein OS=Homo sapiens OX=9606 GN=GJD4 PE=1 SV=1,Q96KN9,Gap junction delta-4 protein,GJD4,Homo sapiens,reviewed,1,4.0,370,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/GJE1__A6NN92.fasta,>sp|A6NN92|CXE1_HUMAN Gap junction epsilon-1 protein OS=Homo sapiens OX=9606 GN=GJE1 PE=2 SV=1,A6NN92,Gap junction epsilon-1 protein,GJE1,Homo sapiens,reviewed,2,3.0,205,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Homo_sapiens/RIC1__Q4ADV7.fasta,>sp|Q4ADV7|RIC1_HUMAN Guanine nucleotide exchange factor subunit RIC1 OS=Homo sapiens OX=9606 GN=RIC1 PE=1 SV=2,Q4ADV7,Guanine nucleotide exchange factor subunit RIC1,RIC1,Homo sapiens,reviewed,1,5.0,1423,GCA_057084165.1,Chromosome,HG03453_haplotype2_hprc_rel2_verkko2_supp,GenBank,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Hylobates_moloch/GJB2__Q7JGL3.fasta,>sp|Q7JGL3|CXB2_HYLLA Gap junction beta-2 protein OS=Hylobates lar OX=9580 GN=GJB2 PE=3 SV=1,Q7JGL3,Gap junction beta-2 protein,GJB2,Hylobates lar,reviewed,3,3.0,226,,,,,,,,,review_protein_only,
connexin,project/data/references/connexins/Leucoraja_erinaceus/P69998__P69998.fasta,>sp|P69998|CXD2_LEUER Gap junction delta-2 protein OS=Leucoraja erinaceus OX=7782 PE=2 SV=1,P69998,Gap junction delta-2 protein,,Leucoraja erinaceus,reviewed,2,3.0,302,GCF_028641065.1,Chromosome,Leri_hhj_1,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Macaca_fascicularis/GJA1__Q4R4S7.fasta,>sp|Q4R4S7|CXA1_MACFA Gap junction alpha-1 protein OS=Macaca fascicularis OX=9541 GN=GJA1 PE=2 SV=1,Q4R4S7,Gap junction alpha-1 protein,GJA1,Macaca fascicularis,reviewed,2,5.0,382,GCF_037993035.2,Complete Genome,T2T-MFA8v1.1,RefSeq,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Macaca_fascicularis/GJB1__Q60HF7.fasta,>sp|Q60HF7|CXB1_MACFA Gap junction beta-1 protein OS=Macaca fascicularis OX=9541 GN=GJB1 PE=2 SV=1,Q60HF7,Gap junction beta-1 protein,GJB1,Macaca fascicularis,reviewed,2,3.0,283,GCF_037993035.2,Complete Genome,T2T-MFA8v1.1,RefSeq,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Macaca_fascicularis/GJD4__Q9N0B3.fasta,>sp|Q9N0B3|CXD4_MACFA Gap junction delta-4 protein OS=Macaca fascicularis OX=9541 GN=GJD4 PE=2 SV=2,Q9N0B3,Gap junction delta-4 protein,GJD4,Macaca fascicularis,reviewed,2,3.0,370,GCF_037993035.2,Complete Genome,T2T-MFA8v1.1,RefSeq,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Macaca_mulatta/GJB2__Q8MIT8.fasta,>sp|Q8MIT8|CXB2_MACMU Gap junction beta-2 protein OS=Macaca mulatta OX=9544 GN=GJB2 PE=3 SV=1,Q8MIT8,Gap junction beta-2 protein,GJB2,Macaca mulatta,reviewed,3,3.0,226,GCF_049350105.2,Complete Genome,T2T-MMU8v2.0,RefSeq,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mesocricetus_auratus/GJC1__Q6PYT3.fasta,>sp|Q6PYT3|CXG1_MESAU Gap junction gamma-1 protein OS=Mesocricetus auratus OX=10036 GN=GJC1 PE=2 SV=1,Q6PYT3,Gap junction gamma-1 protein,GJC1,Mesocricetus auratus,reviewed,2,4.0,396,GCF_017639785.1,Scaffold,BCM_Maur_2.0,RefSeq,,,yes,Scaffold,medium,
connexin,project/data/references/connexins/Mus_musculus/Gja10__Q9WUS4.fasta,>sp|Q9WUS4|CXA10_MOUSE Gap junction alpha-10 protein OS=Mus musculus OX=10090 GN=Gja10 PE=1 SV=2,Q9WUS4,Gap junction alpha-10 protein,Gja10,Mus musculus,reviewed,1,5.0,505,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gja1__P23242.fasta,>sp|P23242|CXA1_MOUSE Gap junction alpha-1 protein OS=Mus musculus OX=10090 GN=Gja1 PE=1 SV=2,P23242,Gap junction alpha-1 protein,Gja1,Mus musculus,reviewed,1,5.0,382,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gja3__Q64448.fasta,>sp|Q64448|CXA3_MOUSE Gap junction alpha-3 protein OS=Mus musculus OX=10090 GN=Gja3 PE=2 SV=4,Q64448,Gap junction alpha-3 protein,Gja3,Mus musculus,reviewed,2,4.0,417,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gja4__P28235.fasta,>sp|P28235|CXA4_MOUSE Gap junction alpha-4 protein OS=Mus musculus OX=10090 GN=Gja4 PE=1 SV=2,P28235,Gap junction alpha-4 protein,Gja4,Mus musculus,reviewed,1,4.0,333,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gja5__Q01231.fasta,>sp|Q01231|CXA5_MOUSE Gap junction alpha-5 protein OS=Mus musculus OX=10090 GN=Gja5 PE=2 SV=2,Q01231,Gap junction alpha-5 protein,Gja5,Mus musculus,reviewed,2,5.0,358,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gja6__Q6S5G4.fasta,>sp|Q6S5G4|CXA6_MOUSE Gap junction alpha-6 protein OS=Mus musculus OX=10090 GN=Gja6 PE=2 SV=2,Q6S5G4,Gap junction alpha-6 protein,Gja6,Mus musculus,reviewed,2,3.0,283,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gja8__P28236.fasta,>sp|P28236|CXA8_MOUSE Gap junction alpha-8 protein OS=Mus musculus OX=10090 GN=Gja8 PE=1 SV=2,P28236,Gap junction alpha-8 protein,Gja8,Mus musculus,reviewed,1,5.0,440,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjb1__P28230.fasta,>sp|P28230|CXB1_MOUSE Gap junction beta-1 protein OS=Mus musculus OX=10090 GN=Gjb1 PE=1 SV=3,P28230,Gap junction beta-1 protein,Gjb1,Mus musculus,reviewed,1,5.0,283,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjb2__Q00977.fasta,>sp|Q00977|CXB2_MOUSE Gap junction beta-2 protein OS=Mus musculus OX=10090 GN=Gjb2 PE=1 SV=1,Q00977,Gap junction beta-2 protein,Gjb2,Mus musculus,reviewed,1,5.0,226,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjb3__P28231.fasta,>sp|P28231|CXB3_MOUSE Gap junction beta-3 protein OS=Mus musculus OX=10090 GN=Gjb3 PE=1 SV=1,P28231,Gap junction beta-3 protein,Gjb3,Mus musculus,reviewed,1,5.0,270,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjb4__Q02738.fasta,>sp|Q02738|CXB4_MOUSE Gap junction beta-4 protein OS=Mus musculus OX=10090 GN=Gjb4 PE=1 SV=1,Q02738,Gap junction beta-4 protein,Gjb4,Mus musculus,reviewed,1,5.0,266,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjb5__Q02739.fasta,>sp|Q02739|CXB5_MOUSE Gap junction beta-5 protein OS=Mus musculus OX=10090 GN=Gjb5 PE=2 SV=1,Q02739,Gap junction beta-5 protein,Gjb5,Mus musculus,reviewed,2,4.0,271,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjb6__P70689.fasta,>sp|P70689|CXB6_MOUSE Gap junction beta-6 protein OS=Mus musculus OX=10090 GN=Gjb6 PE=1 SV=1,P70689,Gap junction beta-6 protein,Gjb6,Mus musculus,reviewed,1,5.0,261,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjc1__P28229.fasta,>sp|P28229|CXG1_MOUSE Gap junction gamma-1 protein OS=Mus musculus OX=10090 GN=Gjc1 PE=1 SV=1,P28229,Gap junction gamma-1 protein,Gjc1,Mus musculus,reviewed,1,5.0,396,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjc2__Q8BQU6.fasta,>sp|Q8BQU6|CXG2_MOUSE Gap junction gamma-2 protein OS=Mus musculus OX=10090 GN=Gjc2 PE=1 SV=2,Q8BQU6,Gap junction gamma-2 protein,Gjc2,Mus musculus,reviewed,1,5.0,440,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjc3__Q921C1.fasta,>sp|Q921C1|CXG3_MOUSE Gap junction gamma-3 protein OS=Mus musculus OX=10090 GN=Gjc3 PE=1 SV=2,Q921C1,Gap junction gamma-3 protein,Gjc3,Mus musculus,reviewed,1,4.0,269,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjd2__O54851.fasta,>sp|O54851|CXD2_MOUSE Gap junction delta-2 protein OS=Mus musculus OX=10090 GN=Gjd2 PE=1 SV=2,O54851,Gap junction delta-2 protein,Gjd2,Mus musculus,reviewed,1,5.0,321,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjd3__Q91YD1.fasta,>sp|Q91YD1|CXD3_MOUSE Gap junction delta-3 protein OS=Mus musculus OX=10090 GN=Gjd3 PE=3 SV=1,Q91YD1,Gap junction delta-3 protein,Gjd3,Mus musculus,reviewed,3,5.0,278,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gjd4__Q8BSD4.fasta,>sp|Q8BSD4|CXD4_MOUSE Gap junction delta-4 protein OS=Mus musculus OX=10090 GN=Gjd4 PE=2 SV=1,Q8BSD4,Gap junction delta-4 protein,Gjd4,Mus musculus,reviewed,2,3.0,364,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Mus_musculus/Gje1__Q9CX92.fasta,>sp|Q9CX92|CXE1_MOUSE Gap junction epsilon-1 protein OS=Mus musculus OX=10090 GN=Gje1 PE=1 SV=1,Q9CX92,Gap junction epsilon-1 protein,Gje1,Mus musculus,reviewed,1,5.0,205,GCA_056825265.1,Complete Genome,T2T_mhaESC_v1.5,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Oryctolagus_cuniculus/GJA1__Q6TYA7.fasta,>sp|Q6TYA7|CXA1_RABIT Gap junction alpha-1 protein OS=Oryctolagus cuniculus OX=9986 GN=GJA1 PE=1 SV=1,Q6TYA7,Gap junction alpha-1 protein,GJA1,Oryctolagus cuniculus,reviewed,1,5.0,382,GCF_964237555.1,Chromosome,mOryCun1.1,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Ovis_aries/GJA3__Q9TU17.fasta,>sp|Q9TU17|CXA3_SHEEP Gap junction alpha-3 protein OS=Ovis aries OX=9940 GN=GJA3 PE=1 SV=3,Q9TU17,Gap junction alpha-3 protein,GJA3,Ovis aries,reviewed,1,5.0,413,GCA_057332225.1,Complete Genome,NLFDP_OvArieNajdiMale_T2T_1.0,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Ovis_aries/GJA8__P55917.fasta,>sp|P55917|CXA8_SHEEP Gap junction alpha-8 protein OS=Ovis aries OX=9940 GN=GJA8 PE=1 SV=2,P55917,Gap junction alpha-8 protein,GJA8,Ovis aries,reviewed,1,5.0,440,GCA_057332225.1,Complete Genome,NLFDP_OvArieNajdiMale_T2T_1.0,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Ovis_aries/GJB2__P46691.fasta,>sp|P46691|CXB2_SHEEP Gap junction beta-2 protein OS=Ovis aries OX=9940 GN=GJB2 PE=2 SV=1,P46691,Gap junction beta-2 protein,GJB2,Ovis aries,reviewed,2,3.0,226,GCA_057332225.1,Complete Genome,NLFDP_OvArieNajdiMale_T2T_1.0,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Pongo_pygmaeus/GJB2__Q8MIT9.fasta,>sp|Q8MIT9|CXB2_PONPY Gap junction beta-2 protein OS=Pongo pygmaeus OX=9600 GN=GJB2 PE=3 SV=1,Q8MIT9,Gap junction beta-2 protein,GJB2,Pongo pygmaeus,reviewed,3,3.0,226,GCF_028885625.2,Chromosome,NHGRI_mPonPyg2-v2.1_pri,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gja1__P08050.fasta,>sp|P08050|CXA1_RAT Gap junction alpha-1 protein OS=Rattus norvegicus OX=10116 GN=Gja1 PE=1 SV=2,P08050,Gap junction alpha-1 protein,Gja1,Rattus norvegicus,reviewed,1,5.0,382,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gja3__P29414.fasta,>sp|P29414|CXA3_RAT Gap junction alpha-3 protein OS=Rattus norvegicus OX=10116 GN=Gja3 PE=1 SV=2,P29414,Gap junction alpha-3 protein,Gja3,Rattus norvegicus,reviewed,1,5.0,416,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gja4__Q03190.fasta,>sp|Q03190|CXA4_RAT Gap junction alpha-4 protein OS=Rattus norvegicus OX=10116 GN=Gja4 PE=2 SV=2,Q03190,Gap junction alpha-4 protein,Gja4,Rattus norvegicus,reviewed,2,5.0,333,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gja5__P28234.fasta,>sp|P28234|CXA5_RAT Gap junction alpha-5 protein OS=Rattus norvegicus OX=10116 GN=Gja5 PE=1 SV=2,P28234,Gap junction alpha-5 protein,Gja5,Rattus norvegicus,reviewed,1,5.0,356,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gja6__P28233.fasta,>sp|P28233|CXA6_RAT Gap junction alpha-6 protein OS=Rattus norvegicus OX=10116 GN=Gja6 PE=2 SV=1,P28233,Gap junction alpha-6 protein,Gja6,Rattus norvegicus,reviewed,2,4.0,286,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gja8__Q8K4Q9.fasta,>sp|Q8K4Q9|CXA8_RAT Gap junction alpha-8 protein OS=Rattus norvegicus OX=10116 GN=Gja8 PE=1 SV=1,Q8K4Q9,Gap junction alpha-8 protein,Gja8,Rattus norvegicus,reviewed,1,5.0,440,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gjb1__P08033.fasta,>sp|P08033|CXB1_RAT Gap junction beta-1 protein OS=Rattus norvegicus OX=10116 GN=Gjb1 PE=1 SV=1,P08033,Gap junction beta-1 protein,Gjb1,Rattus norvegicus,reviewed,1,5.0,283,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gjb2__P21994.fasta,>sp|P21994|CXB2_RAT Gap junction beta-2 protein OS=Rattus norvegicus OX=10116 GN=Gjb2 PE=1 SV=1,P21994,Gap junction beta-2 protein,Gjb2,Rattus norvegicus,reviewed,1,5.0,226,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gjb3__P25305.fasta,>sp|P25305|CXB3_RAT Gap junction beta-3 protein OS=Rattus norvegicus OX=10116 GN=Gjb3 PE=3 SV=1,P25305,Gap junction beta-3 protein,Gjb3,Rattus norvegicus,reviewed,3,4.0,270,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gjb4__P36380.fasta,>sp|P36380|CXB4_RAT Gap junction beta-4 protein OS=Rattus norvegicus OX=10116 GN=Gjb4 PE=1 SV=1,P36380,Gap junction beta-4 protein,Gjb4,Rattus norvegicus,reviewed,1,4.0,265,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gjb5__P28232.fasta,>sp|P28232|CXB5_RAT Gap junction beta-5 protein OS=Rattus norvegicus OX=10116 GN=Gjb5 PE=2 SV=1,P28232,Gap junction beta-5 protein,Gjb5,Rattus norvegicus,reviewed,2,4.0,271,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gjc1__A4GG66.fasta,>sp|A4GG66|CXG1_RAT Gap junction gamma-1 protein OS=Rattus norvegicus OX=10116 GN=Gjc1 PE=1 SV=1,A4GG66,Gap junction gamma-1 protein,Gjc1,Rattus norvegicus,reviewed,1,5.0,396,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gjc2__Q80XF7.fasta,>sp|Q80XF7|CXG2_RAT Gap junction gamma-2 protein OS=Rattus norvegicus OX=10116 GN=Gjc2 PE=1 SV=2,Q80XF7,Gap junction gamma-2 protein,Gjc2,Rattus norvegicus,reviewed,1,5.0,440,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Rattus_norvegicus/Gjd2__O70610.fasta,>sp|O70610|CXD2_RAT Gap junction delta-2 protein OS=Rattus norvegicus OX=10116 GN=Gjd2 PE=2 SV=1,O70610,Gap junction delta-2 protein,Gjd2,Rattus norvegicus,reviewed,2,4.0,321,GCF_036323735.1,Chromosome,GRCr8,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Sus_scrofa/GJA1__Q29101.fasta,>sp|Q29101|CXA1_PIG Gap junction alpha-1 protein OS=Sus scrofa OX=9823 GN=GJA1 PE=2 SV=2,Q29101,Gap junction alpha-1 protein,GJA1,Sus scrofa,reviewed,2,5.0,382,GCA_057782405.1,Complete Genome,ASM5778240v1,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Sus_scrofa/GJA4__Q29559.fasta,>sp|Q29559|CXA4_PIG Gap junction alpha-4 protein (Fragment) OS=Sus scrofa OX=9823 GN=GJA4 PE=2 SV=1,Q29559,Gap junction alpha-4 protein,GJA4,Sus scrofa,reviewed,2,3.0,138,GCA_057782405.1,Complete Genome,ASM5778240v1,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Sus_scrofa/GJC1__A4GVD1.fasta,>sp|A4GVD1|CXG1_PIG Gap junction gamma-1 protein OS=Sus scrofa OX=9823 GN=GJC1 PE=2 SV=1,A4GVD1,Gap junction gamma-1 protein,GJC1,Sus scrofa,reviewed,2,4.0,396,GCA_057782405.1,Complete Genome,ASM5778240v1,GenBank,,,yes,Complete Genome,medium,
connexin,project/data/references/connexins/Ursus_americanus/GJA1__A6XKM2.fasta,>sp|A6XKM2|CXA1_URSAM Gap junction alpha-1 protein OS=Ursus americanus OX=9643 GN=GJA1 PE=2 SV=1,A6XKM2,Gap junction alpha-1 protein,GJA1,Ursus americanus,reviewed,2,5.0,382,GCF_020975775.1,Contig,gsc_jax_bbear_1.0,RefSeq,,,yes,Contig,review_protein_only,
connexin,project/data/references/connexins/Xenopus_laevis/gja1__P16863.fasta,>sp|P16863|CXA1_XENLA Gap junction alpha-1 protein OS=Xenopus laevis OX=8355 GN=gja1 PE=2 SV=2,P16863,Gap junction alpha-1 protein,gja1,Xenopus laevis,reviewed,2,5.0,379,GCF_017654675.1,Chromosome,Xenopus_laevis_v10.1,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Xenopus_laevis/gja2__P16864.fasta,>sp|P16864|CXA2_XENLA Gap junction alpha-2 protein OS=Xenopus laevis OX=8355 GN=gja2 PE=2 SV=1,P16864,Gap junction alpha-2 protein,gja2,Xenopus laevis,reviewed,2,3.0,334,GCF_017654675.1,Chromosome,Xenopus_laevis_v10.1,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Xenopus_laevis/gja4__P51914.fasta,>sp|P51914|CXA4_XENLA Gap junction alpha-4 protein OS=Xenopus laevis OX=8355 GN=gja4 PE=2 SV=2,P51914,Gap junction alpha-4 protein,gja4,Xenopus laevis,reviewed,2,4.0,352,GCF_017654675.1,Chromosome,Xenopus_laevis_v10.1,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Xenopus_laevis/gjb1__P08983.fasta,>sp|P08983|CXB1_XENLA Gap junction beta-1 protein OS=Xenopus laevis OX=8355 GN=gjb1 PE=2 SV=2,P08983,Gap junction beta-1 protein,gjb1,Xenopus laevis,reviewed,2,3.0,264,GCF_017654675.1,Chromosome,Xenopus_laevis_v10.1,RefSeq,,,yes,Chromosome,medium,
connexin,project/data/references/connexins/Xenopus_tropicalis/gja4__Q0V990.fasta,>sp|Q0V990|CXA4_XENTR Gap junction alpha-4 protein OS=Xenopus tropicalis OX=8364 GN=gja4 PE=2 SV=1,Q0V990,Gap junction alpha-4 protein,gja4,Xenopus tropicalis,reviewed,2,3.0,352,GCF_000004195.4,Chromosome,UCB_Xtro_10.0,RefSeq,,,yes,Chromosome,medium,
